Name,Country,Latitude,Longitude,Distance
Unavailable,Portugal,-8.4960734,40.51262940033428,1.441
Carta de Foral de Oliveira do Bairro,Portugal,-8.495672399999998,40.51281140033429,1.469
Bordalo II - Cegonha,Portugal,-8.491445299999999,40.51308820033433,1.624
Hotel Paraíso,Portugal,-8.4926455,40.514966300334564,1.775
Baloiço dos Pinheiros Mansos,Portugal,-8.482139000000002,40.50900000033383,1.814
Cruzeiro,Portugal,-8.4732614,40.49185090033167,2.441
Lagoa do Paúl,Portugal,-8.5019442,40.47532080032959,2.745
Estalagem de Sangalhos,Portugal,-8.459659533064459,40.47735924925151,4.208
Unavailable,Portugal,-8.45772090481371,40.52123998744985,4.21
Unavailable,Portugal,-8.475507,40.53532900033711,4.438
Pensão Parreira,Portugal,-8.4474195,40.50869410033378,4.56
Wayside shrine,Portugal,-8.453728800000002,40.475143800329555,4.797
Cristo Rei,Portugal,-8.5100526,40.543203500338095,4.873
Busto do Professor José de Oliveira,Portugal,-8.562563862783884,40.499831138899175,5.299
Templete de Perraes,Portugal,-8.506954999999998,40.54751940033863,5.31
Motel Primavera,Portugal,-8.447439099999999,40.52837080033623,5.456
Quinta do Louredo,Portugal,-8.4895878,40.55199920033918,5.841
Pateira de Fermentelos,Portugal,-8.526015162804804,40.57261709373975,6.363
Pelourinho de São Lourenço do Bairro,Portugal,-8.497503,40.437924000324855,6.896
Quinta de São Lourenço,Portugal,-8.497063824671168,40.437279206390826,6.923
